id,name,pop,labor_force,employed,unemployed,unemployment_rate,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_avg_wkly_wage,annual_contributions
13001,Appling,58164,8207.0,7689.0,518.0,6.3,424,5947,200367053,42607433,648,909597
13003,Atkinson,25232,3585.0,3307.0,278.0,7.8,122,1741,42215181,13432932,466,470044
13005,Bacon,33511,4302.0,4075.0,227.0,5.3,248,3257,79456243,21093451,469,518851
13007,Baker,12791,1798.0,1718.0,80.0,4.4,58,601,14029699,3275698,449,51286
13009,Baldwin,163798,20150.0,19186.0,964.0,4.8,901,19682,519675205,96516362,508,2278010
13011,Banks,51877,8786.0,8472.0,314.0,3.6,216,3541,86290162,29848629,469,574826
13013,Barrow,169359,28718.0,27421.0,1297.0,4.5,1093,15098,428376591,121566092,546,1949877
13015,Bartow,276898,43182.0,40898.0,2284.0,5.3,1900,32257,1015245246,272957064,605,7488695
13017,Ben Hill,55414,7882.0,7500.0,382.0,4.8,423,8085,216009189,56692540,514,1753795
13019,Berrien,54651,8592.0,8275.0,317.0,3.7,286,4889,132696288,38465879,522,969367
13021,Bibb,501199,72537.0,68846.0,3691.0,5.1,4687,86615,2839139799,628420855,630,13486643
13023,Bleckley,38421,5104.0,4801.0,303.0,5.9,224,3737,105609002,23332829,543,542583
13025,Brantley,51508,7330.0,6962.0,368.0,5.0,224,2165,52400563,14069428,465,266545
13027,Brooks,51889,8058.0,7774.0,284.0,3.5,268,2925,67675700,19915160,445,454745
13029,Bryan,83076,14330.0,13818.0,512.0,3.6,480,4633,120459593,31295432,500,568184
13031,Bulloch,212472,29027.0,27710.0,1317.0,4.5,1421,21420,544678167,137356278,489,2666644
13033,Burke,72033,9997.0,9314.0,683.0,6.8,352,5992,201954494,39955595,648,1027751
13035,Butts,72647,8847.0,8355.0,492.0,5.6,413,5983,162483756,45075756,522,826011
13037,Calhoun,21945,2326.0,2189.0,137.0,5.9,125,1575,35890091,7531472,438,184659
13039,Camden,153018,19071.0,18213.0,858.0,4.5,867,13939,395260602,84495815,545,1731235
13043,Candler,30796,4394.0,4190.0,204.0,4.6,236,3241,70185784,19977156,417,335403
13045,Carroll,321734,48730.0,46314.0,2416.0,5.0,2009,32325,986251614,240944911,587,5556642
13047,Catoosa,185524,33912.0,32717.0,1195.0,3.5,874,14598,401761762,106207291,529,2598376
13049,Charlton,37420,4216.0,4006.0,210.0,5.0,208,2395,59804378,15852535,480,246495
13051,Chatham,790944,121432.0,116271.0,5161.0,4.3,7009,127641,4237043039,971509512,638,21100773
13053,Chattahoochee,60262,2760.0,2512.0,248.0,9.0,68,1027,23216535,6485813,435,208130
13055,Chattooga,85437,10958.0,10408.0,550.0,5.0,343,6940,180293779,53469381,500,1542605
13057,Cherokee,545987,94256.0,90610.0,3646.0,3.9,4288,39687,1229780701,330957292,596,6493147
13059,Clarke,406855,57858.0,55500.0,2358.0,4.1,3025,61892,2031634740,350957613,631,7787455
13061,Clay,9900,1445.0,1368.0,77.0,5.3,75,783,17941945,5102337,441,125869
13063,Clayton,850438,132632.0,124857.0,7775.0,5.9,4340,106103,4455906789,844854980,808,17685356
13065,Clinch,22535,2419.0,2277.0,142.0,5.9,171,2311,58533994,15798242,487,315708
13067,Cobb,2229020,362060.0,346157.0,15903.0,4.4,19710,299912,12939380492,2730915842,830,66088330
13069,Coffee,129435,17305.0,16253.0,1052.0,6.1,905,18248,473759735,144172226,499,3519194
13071,Colquitt,137592,18211.0,17331.0,880.0,4.8,997,14038,333313822,96094386,457,2094128
13073,Columbia,324538,55009.0,52893.0,2116.0,3.8,1825,24787,692399069,194874419,537,5102608
13075,Cook,51088,6845.0,6482.0,363.0,5.3,362,4947,104647680,37333201,407,755789
13077,Coweta,326902,53044.0,50865.0,2179.0,4.1,2076,29303,872324280,217037916,572,4955653
13079,Crawford,43034,6219.0,5919.0,300.0,4.8,151,1446,33144803,8873828,441,219696
13081,Crisp,70558,9831.0,9297.0,534.0,5.4,597,8719,213626370,55945708,471,1272538
13083,Dade,53625,8324.0,7982.0,342.0,4.1,236,3425,85122514,23519357,478,662299
13085,Dawson,60678,9882.0,9491.0,391.0,4.0,589,5564,149880583,42512609,518,852597
13087,Decatur,88756,11637.0,10863.0,774.0,6.7,663,10253,250117177,66415666,469,1464718
13089,De Kalb,2374914,363403.0,343516.0,19887.0,5.5,16837,290263,12459690407,2252048014,825,52300384
13091,Dodge,66344,8517.0,8087.0,430.0,5.0,413,5906,142051497,34067119,463,720332
13093,Dooly,41273,4553.0,4282.0,271.0,6.0,225,3293,83170499,22310310,486,538840
13095,Dougherty,313083,41136.0,38666.0,2470.0,6.0,2677,51598,1664189556,340762037,620,7545278
13097,Douglas,344545,55960.0,53249.0,2711.0,4.8,2476,34065,964718742,278653978,545,6302834
13099,Early,36924,5598.0,5316.0,282.0,5.0,320,4812,160667453,31137475,642,688519
13101,Echols,13132,2185.0,2118.0,67.0,3.1,47,883,14345036,7004097,313,75728
13103,Effingham,137346,23727.0,22832.0,895.0,3.8,614,7959,247575377,56528739,598,1005112
13105,Elbert,66455,9937.0,9385.0,552.0,5.6,568,7146,179267789,51562931,482,1398152
13107,Emanuel,70630,10313.0,9775.0,538.0,5.2,498,7485,177238085,48426337,455,1188074
13109,Evans,35264,4737.0,4544.0,193.0,4.1,266,4681,118394499,34618319,486,491716
13111,Fannin,66959,9729.0,9243.0,486.0,5.0,511,4910,119159956,39558556,467,881005
13113,Fayette,325907,51088.0,49179.0,1909.0,3.7,2948,36598,1227670496,289593752,645,6601033
13115,Floyd,303908,49196.0,46862.0,2334.0,4.7,2151,41341,1361340755,323365979,633,7471427
13117,Forsyth,389690,70229.0,67788.0,2441.0,3.5,3919,42330,1607724708,384572962,730,7834852
13119,Franklin,67730,10315.0,9791.0,524.0,5.1,475,7819,207676363,62221459,511,1657026
13121,Fulton,2897289,448696.0,425535.0,23161.0,5.2,37035,727701,37753472930,6430404935,998,161586676
13123,Gilmer,82402,12787.0,12255.0,532.0,4.2,513,7970,200080691,60289047,483,1498099
13125,Glascock,8197,1194.0,1136.0,58.0,4.9,41,550,15585710,3384009,545,29432
13127,Glynn,226814,37453.0,35932.0,1521.0,4.1,2663,36803,1159058281,273797805,606,5888299
13129,Gordon,157612,25516.0,24371.0,1145.0,4.5,1049,21344,622732531,172531337,561,5279673
13131,Grady,76250,11057.0,10559.0,498.0,4.5,477,6024,144816349,42074688,462,759299
13133,Greene,48363,6387.0,5996.0,391.0,6.1,388,4755,126364144,37321539,511,785825
13135,Gwinnett,2263626,381656.0,365548.0,16108.0,4.2,21277,305211,12603403573,2814090622,794,67877329
13137,Habersham,124584,19338.0,18604.0,734.0,3.8,907,14447,394796044,102786226,526,2203713
13139,Hall,504000,80083.0,76884.0,3199.0,4.0,3938,66398,2181099465,522626064,632,11344956
13141,Hancock,33899,3326.0,3102.0,224.0,6.7,91,1461,32827926,4672040,432,51487
13143,Haralson,86938,12614.0,11965.0,649.0,5.1,473,6691,184921797,46843433,531,1112011
13145,Harris,85537,14638.0,14037.0,601.0,4.1,410,4699,105016782,34747351,430,834351
13147,Hart,74607,10990.0,10434.0,556.0,5.1,450,7086,195954296,49524639,532,1855357
13149,Heard,36341,4876.0,4614.0,262.0,5.4,139,2797,106292634,25731264,731,1197565
13151,Henry,478558,82971.0,79319.0,3652.0,4.4,3048,40530,1247243941,305290574,592,6617996
13153,Houston,394301,60299.0,57888.0,2411.0,4.0,2286,49744,1717922325,266184845,664,6017335
13155,Irwin,31383,4393.0,4184.0,209.0,4.8,161,2378,54926753,16144898,444,530787
13157,Jackson,151101,23900.0,22864.0,1036.0,4.3,1127,16885,485824539,143874983,553,3197057
13159,Jasper,39767,6043.0,5741.0,302.0,5.0,215,2661,74294358,17585842,537,334183
13161,Jeff Davis,42766,5363.0,4983.0,380.0,7.1,325,4653,118798973,35420462,491,1064514
13163,Jefferson,54310,7124.0,6559.0,565.0,7.9,414,5791,161754651,42781900,537,865834
13165,Jenkins,26973,3290.0,3086.0,204.0,6.2,166,2400,55288546,17777474,443,755818
13167,Johnson,29793,3724.0,3519.0,205.0,5.5,141,1979,49750320,14524712,483,335835
13169,Jones,84605,13371.0,12800.0,571.0,4.3,365,3351,83825502,21704561,481,428200
13171,Lamar,54789,7687.0,7255.0,432.0,5.6,260,3279,87428011,22084692,513,630856
13173,Lanier,25187,3655.0,3523.0,132.0,3.6,132,1244,28565237,5793962,442,101538
13175,Laurens,147546,21900.0,20692.0,1208.0,5.5,1145,20131,580005047,143038781,554,3229872
13177,Lee,87184,15699.0,15150.0,549.0,3.5,390,4370,111651833,28257463,491,765689
13179,Liberty,212053,22164.0,20954.0,1210.0,5.5,810,15764,449890529,88368589,549,2145650
13181,Lincoln,27550,3537.0,3315.0,222.0,6.3,166,1512,32161874,9626263,409,268959
13183,Long,35771,5235.0,5025.0,210.0,4.0,85,863,16630853,2968550,371,60654
13185,Lowndes,325970,48720.0,47012.0,1708.0,3.5,2683,47454,1190457048,317217284,482,6603713
13187,Lumpkin,81734,11826.0,11324.0,502.0,4.2,497,6051,170070864,42545271,541,991951
13189,McDuffie,69404,10490.0,9885.0,605.0,5.8,520,7841,208305894,56457815,511,1685277
13191,McIntosh,37892,5088.0,4854.0,234.0,4.6,228,2348,44898426,13029204,368,279967
13193,Macon,46665,5232.0,4816.0,416.0,8.0,258,3885,111429099,30666829,552,755152
13195,Madison,88796,14929.0,14313.0,616.0,4.1,413,3629,89818224,24169810,476,538387
13197,Marion,24528,3339.0,3156.0,183.0,5.5,102,1768,40390574,14803638,439,332765
13199,Meriwether,72965,9679.0,9042.0,637.0,6.6,359,5247,140761729,30106998,516,739444
13201,Miller,19446,3436.0,3290.0,146.0,4.2,176,1575,37306487,8876564,456,194137
13205,Mitchell,78529,9865.0,9288.0,577.0,5.8,514,8592,187096217,58578387,419,1539996
13207,Monroe,77818,12424.0,11895.0,529.0,4.3,451,5316,157150543,34686461,569,641858
13209,Montgomery,29619,4198.0,3967.0,231.0,5.5,143,1794,44317234,12113896,475,296641
13211,Morgan,52594,8579.0,8220.0,359.0,4.2,480,5946,166790719,49161890,539,1157364
13213,Murray,130023,20676.0,19849.0,827.0,4.0,486,11666,337954285,100320425,557,3336575
13215,Muscogee,610635,83704.0,79046.0,4658.0,5.6,4693,95852,2982786400,673788554,598,16262280
13217,Newton,238201,39511.0,37451.0,2060.0,5.2,1415,18891,620768587,138673837,632,3297203
13219,Oconee,89685,16082.0,15591.0,491.0,3.1,843,7558,208983567,58560375,532,1180822
13221,Oglethorpe,43638,7277.0,6981.0,296.0,4.1,201,1648,38539765,10769983,450,219607
13223,Paulding,319774,54933.0,52567.0,2366.0,4.3,1409,15807,453521828,109914578,552,2383761
13225,Peach,83762,11168.0,10440.0,728.0,6.5,521,7813,226734006,53277432,558,1548296
13227,Pickens,84539,13863.0,13315.0,548.0,4.0,609,6135,183352083,47352166,575,1098131
13229,Pierce,53214,8056.0,7707.0,349.0,4.3,344,4023,97721030,29105080,467,502466
13231,Pike,47672,7427.0,7064.0,363.0,4.9,246,2340,56037288,15101572,461,330108
13233,Polk,127307,19650.0,18686.0,964.0,4.9,641,11137,306483800,81296016,529,1761856
13235,Pulaski,34133,4250.0,4057.0,193.0,4.5,230,2951,82252946,20593058,536,346373
13237,Putnam,64293,9446.0,9028.0,418.0,4.4,452,6431,173292744,45720361,518,961953
13239,Quitman,7589,953.0,893.0,60.0,6.3,46,469,10788639,3708719,442,77543
