id,name,pop,labor_force,employed,unemployed,unemployment_rate,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_avg_wkly_wage,annual_contributions
13001,Appling,46412,8200.0,7652.0,548.0,6.7,420,5780,186589816,42333142,621,260644
13003,Atkinson,20090,3495.0,3284.0,211.0,6.0,119,1857,43169978,14156732,447,42325
13005,Bacon,26737,4295.0,4063.0,232.0,5.4,256,3179,74316991,19417766,450,127043
13007,Baker,10200,1851.0,1761.0,90.0,4.9,59,634,15222235,3545350,461,20193
13009,Baldwin,130441,19930.0,18992.0,938.0,4.7,886,19411,505797468,93505508,501,1253105
13011,Banks,40988,8333.0,8011.0,322.0,3.9,201,3118,71379966,25724508,440,85145
13013,Barrow,132230,27438.0,26136.0,1302.0,4.7,953,12646,352016429,94824247,535,582510
13015,Bartow,217900,42706.0,40447.0,2259.0,5.3,1796,31219,948498215,255206385,584,1617581
13017,Ben Hill,44333,7762.0,7243.0,519.0,6.7,403,7631,194951419,54230546,491,256377
13019,Berrien,43289,8465.0,8175.0,290.0,3.4,295,4721,119197978,38007736,486,112511
13021,Bibb,400422,71971.0,68488.0,3483.0,4.8,4714,85579,2709647826,619469563,609,2330981
13023,Bleckley,30557,5311.0,5047.0,264.0,5.0,229,4078,107203313,24253111,506,98624
13025,Brantley,40726,7195.0,6806.0,389.0,5.4,226,2126,49269613,13502295,446,77401
13027,Brooks,41475,7997.0,7727.0,270.0,3.4,280,2913,64534593,20393216,426,121479
13029,Bryan,65388,13183.0,12708.0,475.0,3.6,463,4539,110377274,29790149,468,213080
13031,Bulloch,167577,29120.0,27895.0,1225.0,4.2,1399,21642,539955648,138751527,480,939567
13033,Burke,57369,9964.0,9139.0,825.0,8.3,353,6263,200959402,44061583,617,200028
13035,Butts,57504,9576.0,9077.0,499.0,5.2,391,5611,147203456,40332310,505,210040
13037,Calhoun,17500,2454.0,2294.0,160.0,6.5,131,1669,37352679,8197691,430,63071
13039,Camden,121374,18756.0,17745.0,1011.0,5.4,834,13511,389340834,81425472,554,574140
13043,Candler,24413,4162.0,3980.0,182.0,4.4,231,2841,61663906,16937601,417,89637
13045,Carroll,253575,47729.0,45255.0,2474.0,5.2,1956,31402,923106252,232128393,565,1414539
13047,Catoosa,146603,32863.0,31775.0,1088.0,3.3,878,14285,382287770,102758074,515,462120
13049,Charlton,29541,4243.0,4014.0,229.0,5.4,214,2439,57494479,16543497,453,184213
13051,Chatham,627910,116179.0,111181.0,4998.0,4.3,6907,124415,3955820147,929590155,611,4584008
13053,Chattahoochee,48433,2748.0,2523.0,225.0,8.2,76,978,24603315,7046835,484,56854
13055,Chattooga,68550,11335.0,10836.0,499.0,4.4,343,7379,182685078,53147928,476,298804
13057,Cherokee,427148,91178.0,87455.0,3723.0,4.1,4044,38403,1143221615,312731590,572,2565471
13059,Clarke,321805,57142.0,54998.0,2144.0,3.8,3003,61995,1994421904,341853691,619,1644698
13061,Clay,7957,1536.0,1468.0,68.0,4.4,76,851,19424884,5503135,439,40484
13063,Clayton,675648,131772.0,123982.0,7790.0,5.9,4331,109141,4405138251,869585844,776,3374436
13065,Clinch,18005,2426.0,2284.0,142.0,5.9,170,2287,56697574,13746497,477,59203
13067,Cobb,1775998,361172.0,345198.0,15974.0,4.4,19472,297425,12448979614,2674710953,805,13036427
13069,Coffee,102944,17318.0,16114.0,1204.0,7.0,891,17768,445893725,145174761,483,505898
13071,Colquitt,109647,18303.0,17337.0,966.0,5.3,991,13700,319497496,93794153,448,650056
13073,Columbia,254984,52446.0,50601.0,1845.0,3.5,1764,22951,627301639,179995984,526,1201375
13075,Cook,40648,7032.0,6661.0,371.0,5.3,381,5169,109711132,39678135,408,209827
13077,Coweta,256589,51879.0,49526.0,2353.0,4.5,1991,28308,815186061,208744220,554,1183634
13079,Crawford,34220,6095.0,5806.0,289.0,4.7,158,1541,35348293,9525922,441,86834
13081,Crisp,56294,9527.0,8982.0,545.0,5.7,595,8243,192722904,53153921,450,347481
13083,Dade,42654,8286.0,7932.0,354.0,4.3,241,3391,81319473,22871438,461,108064
13085,Dawson,47697,9731.0,9352.0,379.0,3.9,552,5211,125741197,37380824,464,319659
13087,Decatur,70959,12160.0,11470.0,690.0,5.7,644,10933,264193000,73169587,465,298509
13089,De Kalb,1902425,366983.0,346963.0,20020.0,5.5,16860,293576,12224575904,2293968515,801,11567348
13091,Dodge,52575,8753.0,8290.0,463.0,5.3,423,6040,139675229,35652311,445,231930
13093,Dooly,32574,4749.0,4464.0,285.0,6.0,224,3474,82017863,23600013,454,140193
13095,Dougherty,250520,41489.0,39134.0,2355.0,5.7,2704,51666,1610330980,340141418,599,1543134
13097,Douglas,270100,53789.0,51241.0,2548.0,4.7,2369,32039,881210460,256601076,529,1416492
13099,Early,29631,5864.0,5530.0,334.0,5.7,320,4834,171424548,39045435,682,168579
13101,Echols,10440,2114.0,2049.0,65.0,3.1,48,981,15174973,7770958,297,20531
13103,Effingham,107842,22030.0,21165.0,865.0,3.9,588,7609,229481191,52899346,580,267488
13105,Elbert,53031,10190.0,9605.0,585.0,5.7,567,7341,178146953,52005258,467,337527
13107,Emanuel,56419,10448.0,9929.0,519.0,5.0,490,7641,172885519,49974563,435,326700
13109,Evans,28096,4765.0,4565.0,200.0,4.2,269,4751,111233364,34829989,450,103904
13111,Fannin,52951,9643.0,9032.0,611.0,6.3,493,4779,111782649,36935701,450,251158
13113,Fayette,258032,50383.0,48525.0,1858.0,3.7,2849,36154,1169625980,284725695,622,1905340
13115,Floyd,241769,49057.0,46768.0,2289.0,4.7,2183,40259,1249585334,307740589,597,1258430
13117,Forsyth,302989,67047.0,64525.0,2522.0,3.8,3580,39902,1440019847,362255982,694,2630886
13119,Franklin,53829,10342.0,9792.0,550.0,5.3,478,7667,195062605,60944887,489,321399
13121,Fulton,2318964,445338.0,421444.0,23894.0,5.4,37043,722084,36043373454,6338161781,960,32526490
13123,Gilmer,65194,12593.0,12055.0,538.0,4.3,483,7771,182852500,57320990,453,264705
13125,Glascock,6489,1201.0,1141.0,60.0,5.0,42,583,15271398,3299252,504,3815
13127,Glynn,179886,36363.0,34899.0,1464.0,4.0,2655,35815,1064225868,259105702,571,1507851
13129,Gordon,124632,24904.0,23731.0,1173.0,4.7,1035,20558,589308783,169916730,551,771463
13131,Grady,60938,11135.0,10629.0,506.0,4.5,479,5983,139349067,40482659,448,432177
