id,name,pop,labor_force,employed,unemployed,unemployment_rate,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_avg_wkly_wage,annual_contributions
13001,Appling,11744,8666.0,7903.0,763.0,8.8,435,6590,261073409,54954250,762,1013525
13003,Atkinson,5302,3618.0,3343.0,275.0,7.6,123,1797,58027218,15989348,621,493385
13005,Bacon,7251,4845.0,4511.0,334.0,6.9,262,3967,114458153,33283704,555,640782
13007,Baker,2106,1116.0,1015.0,101.0,9.1,55,436,14788263,3302930,652,35485
13009,Baldwin,31940,18481.0,16872.0,1609.0,8.7,887,14930,495612414,92726564,638,1919256
13011,Banks,11942,8147.0,7612.0,535.0,6.6,272,3728,111841011,33823678,577,541278
13013,Barrow,48199,35192.0,32987.0,2205.0,6.3,1143,17139,586872999,153397047,658,2962938
13015,Bartow,67548,46613.0,43285.0,3328.0,7.1,2127,32602,1310520811,303799599,773,8544336
13017,Ben Hill,10938,5597.0,5039.0,558.0,10.0,373,5423,163126158,45022360,578,1017198
13019,Berrien,11877,7238.0,6620.0,618.0,8.5,293,3558,107259605,32386979,580,1041864
13021,Bibb,99734,69029.0,63502.0,5527.0,8.0,4524,81751,3233164465,668724416,761,13140932
13023,Bleckley,8442,4630.0,4112.0,518.0,11.2,198,2585,68960788,14456717,513,393667
13025,Brantley,11984,6889.0,6254.0,635.0,9.2,226,2144,58974502,14020112,529,320556
13027,Brooks,9621,6633.0,6155.0,478.0,7.2,287,2965,94249135,24937211,611,366080
13029,Bryan,22302,15547.0,14545.0,1002.0,6.4,692,6913,220145255,53508783,612,1104876
13031,Bulloch,52345,34538.0,32019.0,2519.0,7.3,1532,24057,760609380,180178121,608,4054792
13033,Burke,14458,9175.0,8254.0,921.0,10.0,363,6713,356546569,56621776,1021,958718
13035,Butts,15825,10030.0,9278.0,752.0,7.5,404,5894,194957544,45835093,636,909293
13037,Calhoun,4640,2141.0,1991.0,150.0,7.0,122,1106,30698593,6333879,534,97117
13039,Camden,35045,21963.0,20517.0,1446.0,6.6,932,15328,654146168,117546707,821,3418801
13043,Candler,6759,5075.0,4725.0,350.0,6.9,247,2833,83378143,21111999,566,353237
13045,Carroll,76938,51976.0,47723.0,4253.0,8.2,2176,38389,1472620529,343695138,738,7541650
13047,Catoosa,42464,31044.0,29142.0,1902.0,6.1,949,13768,447215392,112284555,625,2882375
13049,Charlton,9118,4805.0,4452.0,353.0,7.3,163,2048,67946456,16989885,638,394719
13051,Chatham,191129,131733.0,122140.0,9593.0,7.3,8164,139326,6002553386,1231703233,829,25836617
13053,Chattahoochee,8924,2234.0,2013.0,221.0,9.9,134,2290,112623956,24186402,946,857724
13055,Chattooga,16174,10521.0,9719.0,802.0,7.6,322,6137,186835272,50262178,585,1939717
13057,Cherokee,153722,118029.0,111575.0,6454.0,5.5,5589,49914,1861958866,448629783,717,8728825
13059,Clarke,90743,56224.0,52340.0,3884.0,6.9,3242,65066,2636429832,427939130,779,8597920
13061,Clay,1796,915.0,812.0,103.0,11.3,61,543,15193345,3952735,539,126342
13063,Clayton,181628,124674.0,113137.0,11537.0,9.3,4312,113469,5495346332,1000863637,931,18726431
13065,Clinch,4300,2830.0,2591.0,239.0,8.4,175,2367,71117330,20705534,578,414562
13067,Cobb,503591,393541.0,370284.0,23257.0,5.9,22489,325446,17602658278,3251445555,1040,77906112
13069,Coffee,28682,17642.0,16208.0,1434.0,8.1,946,15678,499867140,138851238,613,3309428
13071,Colquitt,29139,20087.0,18465.0,1622.0,8.1,1035,14407,427339916,117836729,570,2454975
13073,Columbia,93229,66440.0,62595.0,3845.0,5.8,2415,30350,1071405806,261173945,679,5749216
13075,Cook,10830,7401.0,6798.0,603.0,8.1,358,3929,108301460,29897968,530,729438
13077,Coweta,90126,66516.0,62434.0,4082.0,6.1,2410,35175,1317407900,310374548,720,7397193
13079,Crawford,8146,5606.0,5194.0,412.0,7.3,151,1331,40350329,9621199,583,262827
13081,Crisp,14516,9460.0,8622.0,838.0,8.9,599,8030,259705473,61161221,622,1615026
13083,Dade,10944,7888.0,7392.0,496.0,6.3,248,3200,101956190,26156776,613,588148
13085,Dawson,14784,10800.0,10143.0,657.0,6.1,648,7475,195488525,61239588,503,957735
13087,Decatur,17447,11376.0,10453.0,923.0,8.1,673,8373,259446810,59373021,596,1033483
13089,De Kalb,501356,368808.0,342178.0,26630.0,7.2,18638,283482,14689915913,2470509042,997,56636791
13091,Dodge,14146,7436.0,6709.0,727.0,9.8,372,5087,146187595,35318878,553,711055
13093,Dooly,9665,4640.0,4192.0,448.0,9.7,216,2889,85532563,22020670,569,455684
13095,Dougherty,60423,38658.0,35098.0,3560.0,9.2,2568,46275,1805287880,319426334,750,7168593
13097,Douglas,93778,67676.0,62687.0,4989.0,7.4,2707,38913,1359571536,340951943,672,8236520
13099,Early,6370,4340.0,3956.0,384.0,8.8,296,4216,173693801,31047802,792,619795
13101,Echols,2594,1783.0,1679.0,104.0,5.8,54,905,23342019,9251566,496,71137
13103,Effingham,37197,26267.0,24641.0,1626.0,6.2,743,9280,355605458,70755033,737,1350644
13105,Elbert,12177,8068.0,7374.0,694.0,8.6,502,5796,181689907,50629756,603,1215127
13107,Emanuel,14377,8582.0,7689.0,893.0,10.4,486,6490,195030257,47481732,578,1311083
13109,Evans,6772,4738.0,4433.0,305.0,6.4,264,4294,133346596,38763405,597,416452
13111,Fannin,14214,9855.0,9111.0,744.0,7.5,600,5370,154090561,49138614,552,1082982
13113,Fayette,71736,53772.0,50496.0,3276.0,6.1,3581,38899,1510290622,341037202,747,7415247
13115,Floyd,62302,43278.0,39873.0,3405.0,7.9,2129,37776,1473133855,328418419,750,7635385
13117,Forsyth,132957,100388.0,95136.0,5252.0,5.2,5846,66030,3096315953,654919802,902,13807658
13119,Franklin,14050,9255.0,8502.0,753.0,8.1,447,6700,218454698,59693740,627,1624767
13121,Fulton,698555,509613.0,473655.0,35958.0,7.1,44089,766233,52656907673,7646495285,1322,180489439
13123,Gilmer,17620,11963.0,11099.0,864.0,7.2,575,7257,207275557,60151975,549,1340106
13125,Glascock,1946,1268.0,1165.0,103.0,8.1,38,392,9563831,2181245,470,35203
13127,Glynn,51807,37086.0,34330.0,2756.0,7.4,2829,35315,1359599690,281399369,740,6092559
13129,Gordon,36772,26078.0,24183.0,1895.0,7.3,1040,20852,768219449,192151021,708,6529440
13131,Grady,15832,10456.0,9690.0,766.0,7.3,480,5891,181785869,45529861,593,815421
13133,Greene,9499,6426.0,5901.0,525.0,8.2,494,5524,180915727,48569516,630,1100371
13135,Gwinnett,600076,444407.0,417599.0,26808.0,6.0,25074,325273,16169958685,3236585280,956,74059494
13137,Habersham,27724,18970.0,17656.0,1314.0,6.9,876,14170,454529598,112798181,617,2462565
13139,Hall,122515,90082.0,84790.0,5292.0,5.9,4418,75928,3193675280,674201010,809,14332271
13141,Hancock,5655,2522.0,2228.0,294.0,11.7,89,1629,51658756,8916381,610,220334
13143,Haralson,18395,11866.0,10936.0,930.0,7.8,492,6244,234287708,50453312,722,1224457
13145,Harris,21551,15727.0,14790.0,937.0,6.0,449,4316,116647412,36907650,520,858289
13147,Hart,15639,10384.0,9609.0,775.0,7.5,434,5861,206537389,47703118,678,1699326
13149,Heard,7585,4965.0,4575.0,390.0,7.9,153,2242,94952873,21329471,814,759957
13151,Henry,145228,103545.0,96055.0,7490.0,7.2,3815,51920,1817635143,438304037,673,9594720
13153,Houston,99649,65942.0,61465.0,4477.0,6.8,2737,56342,2448536247,333901891,836,6248217
13155,Irwin,5721,3142.0,2844.0,298.0,9.5,158,1933,55532268,15901119,552,403265
13157,Jackson,40210,29826.0,28079.0,1747.0,5.9,1369,20374,748883846,201820383,707,4563592
13159,Jasper,8661,6353.0,5931.0,422.0,6.6,184,2098,59245835,14437783,543,343066
13161,Jeff Davis,9334,6397.0,5876.0,521.0,8.1,266,4410,139330551,39929780,608,871438
