id,name,pop,labor_force,employed,unemployed,unemployment_rate,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_avg_wkly_wage,annual_contributions
13001,Appling,116969,9455.0,8500.0,955.0,10.1,431,6414,226315190,46062627,679,532976
13003,Atkinson,51839,3289.0,2797.0,492.0,15.0,133,1511,42263231,11882693,538,173686
13005,Bacon,68932,4643.0,4207.0,436.0,9.4,267,3523,89210419,23403596,487,330878
13007,Baker,25097,1586.0,1439.0,147.0,9.3,55,506,14742738,2832637,561,26637
13009,Baldwin,333571,20401.0,17868.0,2533.0,12.4,898,17460,518604645,88278684,571,1736430
13011,Banks,110296,10552.0,9747.0,805.0,7.6,311,4758,127981405,38584979,517,654997
13013,Barrow,383848,35215.0,31479.0,3736.0,10.6,1175,14759,473008572,111265838,616,1489187
13015,Bartow,597556,46443.0,40810.0,5633.0,12.1,2121,31164,1121105179,248496828,692,4661138
13017,Ben Hill,111890,7286.0,6148.0,1138.0,15.6,396,5994,157126717,38436229,504,645901
13019,Berrien,114725,8211.0,7140.0,1071.0,13.0,324,3894,108574294,31185483,536,488100
13021,Bibb,1009281,74638.0,67382.0,7256.0,9.7,4660,80113,2908871014,577588661,698,8124749
13023,Bleckley,81127,5451.0,4908.0,543.0,10.0,212,3545,86222425,16947657,468,358503
13025,Brantley,108704,7545.0,6723.0,822.0,10.9,227,1839,48910906,10369517,511,126652
13027,Brooks,104881,8022.0,7334.0,688.0,8.6,287,2755,72478962,18541693,506,216473
13029,Bryan,178574,16983.0,15653.0,1330.0,7.8,646,5821,173137054,39836240,572,532812
13031,Bulloch,455175,32964.0,29867.0,3097.0,9.4,1580,22700,672600228,146075998,570,1936269
13033,Burke,146176,9939.0,8759.0,1180.0,11.9,360,5866,233302157,37925622,765,523102
13035,Butts,152787,10144.0,8923.0,1221.0,12.0,429,5411,161547468,35541373,574,474018
13037,Calhoun,44663,2343.0,2080.0,263.0,11.2,118,1383,35567045,6220075,495,87044
13039,Camden,320696,20757.0,18902.0,1855.0,8.9,961,14127,489203814,84529709,666,1136563
13043,Candler,64468,4341.0,3938.0,403.0,9.3,243,2659,70404619,17304249,509,187114
13045,Carroll,688599,52693.0,46910.0,5783.0,11.0,2168,36397,1281983264,261583618,677,4152114
13047,Catoosa,390765,34611.0,31689.0,2922.0,8.4,910,13626,422354187,92367667,596,1560135
13049,Charlton,80439,4472.0,3983.0,489.0,10.9,176,2115,61591183,14493316,560,151893
13051,Chatham,1651788,131170.0,119831.0,11339.0,8.6,7693,128953,5024492217,978852089,749,13860731
13053,Chattahoochee,106229,2621.0,2232.0,389.0,14.8,84,2097,78295898,17407525,718,508261
13055,Chattooga,171619,10773.0,9339.0,1434.0,13.3,325,5758,168171193,39834932,562,1012678
13057,Cherokee,1225689,110242.0,100467.0,9775.0,8.9,5196,44360,1495577961,351886691,648,4897171
