id,name,pop,labor_force,employed,unemployed,unemployment_rate,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_avg_wkly_wage,annual_contributions
13113,Fayette,71392,53452.0,49860.0,3592.0,6.7,3476,38275,1515075665,332121284,761,8175789
13115,Floyd,62347,43793.0,39641.0,4152.0,9.5,2134,36833,1418768668,316857682,741,7851036
13117,Forsyth,126579,96553.0,90879.0,5674.0,5.9,5610,63667,2919764178,624908011,882,14504553
13119,Franklin,13997,9346.0,8426.0,920.0,9.8,440,6528,208214459,55089640,613,1540897
13121,Fulton,692855,508662.0,467515.0,41147.0,8.1,42662,745613,49509031683,7361577924,1277,192504806
13123,Gilmer,17740,11913.0,10844.0,1069.0,9.0,577,7012,196969119,60061395,540,1502257
13125,Glascock,1960,1291.0,1168.0,123.0,9.5,37,398,9362573,2032214,452,31847
13127,Glynn,51936,38082.0,34845.0,3237.0,8.5,2768,35398,1349290613,284938734,733,6718448
13129,Gordon,36733,26219.0,23892.0,2327.0,8.9,1036,20195,736495095,183230590,701,6900897
13131,Grady,15925,10492.0,9680.0,812.0,7.7,486,5812,174366718,43631710,577,907162
13133,Greene,9497,6355.0,5725.0,630.0,9.9,481,5223,166812290,45232923,614,1045573
13135,Gwinnett,588405,438545.0,408407.0,30138.0,6.9,24439,311894,15045865541,3056642822,928,78118804
13137,Habersham,27511,19334.0,17781.0,1553.0,8.0,853,14239,449852606,109761730,608,2467237
13139,Hall,120766,89562.0,83423.0,6139.0,6.9,4293,73862,2992283076,650856576,779,15453631
13141,Hancock,6076,2645.0,2255.0,390.0,14.7,82,1612,49460586,8765691,590,238398
13143,Haralson,18297,11969.0,10866.0,1103.0,9.2,490,6101,222365438,48300417,701,1342414
13145,Harris,21593,15824.0,14786.0,1038.0,6.6,442,4329,114085926,36694674,507,870331
13147,Hart,15784,10507.0,9540.0,967.0,9.2,432,5785,197643095,45074324,657,1714469
13149,Heard,7583,5012.0,4542.0,470.0,9.4,156,2080,85129852,15234640,787,365949
13151,Henry,143317,103493.0,94761.0,8732.0,8.4,3718,50627,1723659380,419331244,655,9926110
13153,Houston,99269,67512.0,62432.0,5080.0,7.5,2721,57182,2442225947,333643383,821,6676750
13155,Irwin,6005,3373.0,3015.0,358.0,10.6,163,2036,57241084,18379355,541,444462
13157,Jackson,39806,29624.0,27576.0,2048.0,6.9,1347,19494,694352137,184006594,685,4516253
13159,Jasper,8821,6520.0,5979.0,541.0,8.3,187,2072,56589978,13850161,525,393757
13161,Jeff Davis,9456,6390.0,5753.0,637.0,10.0,270,4174,129505757,36127641,597,805089
13163,Jefferson,10383,6846.0,5889.0,957.0,14.0,365,4477,139918130,35442932,601,692352
13165,Jenkins,6171,3326.0,2915.0,411.0,12.4,135,1321,37102158,8574976,540,172184
13167,Johnson,6706,4002.0,3609.0,393.0,9.8,151,1591,46710579,11699823,565,206618
13169,Jones,18636,13614.0,12628.0,986.0,7.2,375,4188,130618887,31428400,600,744131
13171,Lamar,11954,7829.0,6944.0,885.0,11.3,274,3466,108885081,24034827,604,678926
13173,Lanier,6896,3843.0,3516.0,327.0,8.5,131,1524,39283793,9129516,496,213753
13175,Laurens,30394,19439.0,17343.0,2096.0,10.8,1128,17122,599354324,134783070,673,3398594
13177,Lee,19739,14306.0,13323.0,983.0,6.9,456,5497,190121178,42739816,665,1263585
13179,Liberty,42972,26222.0,23995.0,2227.0,8.5,953,18078,672513241,114384155,715,2465745
13181,Lincoln,4983,3455.0,3107.0,348.0,10.1,160,1279,34586865,8927053,520,295096
13183,Long,11266,6698.0,6156.0,542.0,8.1,75,902,24081260,2263761,514,54173
13185,Lowndes,77185,51139.0,47030.0,4109.0,8.0,2936,46629,1491903079,362441756,615,8302792
13187,Lumpkin,21376,15151.0,14034.0,1117.0,7.4,548,6495,205611506,45743319,609,1014711
13189,McDuffie,13543,9089.0,8058.0,1031.0,11.3,469,6568,202484045,51595168,593,1779589
13191,McIntosh,8895,5935.0,5402.0,533.0,9.0,216,1705,47375298,10228048,534,173748
13193,Macon,9645,4963.0,4333.0,630.0,12.7,233,2911,98372251,23690958,650,631482
13195,Madison,18514,12913.0,11939.0,974.0,7.5,400,3045,89604357,20304377,566,528229
13197,Marion,5634,3454.0,3150.0,304.0,8.8,104,1453,40067194,14645265,530,231820
13199,Meriwether,13415,8824.0,7872.0,952.0,10.8,358,4190,130199649,25543657,598,638569
13201,Miller,3631,2659.0,2463.0,196.0,7.4,188,1625,46768142,10429094,553,206485
13205,Mitchell,15071,9021.0,8248.0,773.0,8.6,463,7595,216550772,61376150,548,1047660
13207,Monroe,17993,12769.0,11750.0,1019.0,8.0,516,6897,240018447,49047853,669,895116
13209,Montgomery,6011,4049.0,3589.0,460.0,11.4,150,1463,42469274,10664122,558,347258
13211,Morgan,11225,8351.0,7679.0,672.0,8.0,516,5913,187707458,51878440,611,1445622
13213,Murray,25978,15904.0,14111.0,1793.0,11.3,468,9102,301231072,74457514,636,3574537
13215,Muscogee,138870,83171.0,75426.0,7745.0,9.3,4682,93920,3700306821,700572568,758,15521418
13217,Newton,67196,48105.0,43432.0,4673.0,9.7,1496,20547,769860527,157846457,721,4245499
13219,Oconee,22348,17109.0,16148.0,961.0,5.6,1027,8924,316465722,74817220,682,1328445
13221,Oglethorpe,9439,6740.0,6233.0,507.0,7.5,215,1798,47397863,12595242,507,287310
13223,Paulding,99500,74581.0,69213.0,5368.0,7.2,1906,19931,624994496,151192483,603,3379869
13225,Peach,18444,11900.0,10629.0,1271.0,10.7,551,8245,289196663,67604715,675,2794147
13227,Pickens,18638,13820.0,12718.0,1102.0,8.0,712,6995,245881128,59800637,676,1516524
13229,Pierce,12030,8164.0,7469.0,695.0,8.5,342,3743,113300244,29994122,582,626971
13231,Pike,11653,8311.0,7604.0,707.0,8.5,255,2567,75619012,18605753,567,554938
