id,name,pop,labor_force,employed,unemployed,unemployment_rate
13001,Appling,105176,9354.0,8701.0,653.0,7.0
13003,Atkinson,46410,3388.0,3106.0,282.0,8.3
13005,Bacon,61725,4794.0,4495.0,299.0,6.2
13007,Baker,22780,1677.0,1570.0,107.0,6.4
13009,Baldwin,299872,21101.0,19445.0,1656.0,7.8
13011,Banks,98155,11055.0,10556.0,499.0,4.5
13013,Barrow,338143,35332.0,33103.0,2229.0,6.3
13015,Bartow,530477,46936.0,43592.0,3344.0,7.1
13017,Ben Hill,100658,7536.0,6719.0,817.0,10.8
13019,Berrien,102323,8665.0,8061.0,604.0,7.0
13021,Bibb,907007,75685.0,70795.0,4890.0,6.5
13023,Bleckley,72375,5406.0,5013.0,393.0,7.3
13025,Brantley,96805,7677.0,7186.0,491.0,6.4
13027,Brooks,94198,8406.0,7927.0,479.0,5.7
13029,Bryan,158383,17096.0,16255.0,841.0,4.9
13031,Bulloch,404585,33157.0,31140.0,2017.0,6.1
13033,Burke,131256,10002.0,9133.0,869.0,8.7
13035,Butts,136407,10456.0,9674.0,782.0,7.5
13037,Calhoun,39852,2407.0,2214.0,193.0,8.0
13039,Camden,286224,21373.0,20178.0,1195.0,5.6
13043,Candler,57536,4348.0,4075.0,273.0,6.3
13045,Carroll,613489,53935.0,50314.0,3621.0,6.7
13047,Catoosa,348773,35778.0,33948.0,1830.0,5.1
13049,Charlton,71471,4587.0,4278.0,309.0,6.7
13051,Chatham,1471812,134606.0,127004.0,7602.0,5.6
13053,Chattahoochee,97528,2558.0,2246.0,312.0,12.2
13055,Chattooga,154372,11279.0,10172.0,1107.0,9.8
13057,Cherokee,1081749,112409.0,106486.0,5923.0,5.3
13059,Clarke,753733,66162.0,62795.0,3367.0,5.1
13061,Clay,17776,1477.0,1370.0,107.0,7.2
13063,Clayton,1564589,136611.0,126243.0,10368.0,7.6
13065,Clinch,40750,2798.0,2597.0,201.0,7.2
13067,Cobb,4100714,381680.0,360319.0,21361.0,5.6
13069,Coffee,239023,16729.0,15348.0,1381.0,8.3
13071,Colquitt,251761,20769.0,19522.0,1247.0,6.0
13073,Columbia,628696,60937.0,58040.0,2897.0,4.8
13075,Cook,93943,7252.0,6691.0,561.0,7.7
13077,Coweta,637705,61411.0,57904.0,3507.0,5.7
13079,Crawford,78584,6278.0,5900.0,378.0,6.0
13081,Crisp,129230,10223.0,9437.0,786.0,7.7
13083,Dade,98690,8451.0,7972.0,479.0,5.7
13085,Dawson,117867,11376.0,10707.0,669.0,5.9
13087,Decatur,160868,12114.0,11190.0,924.0,7.6
13089,De Kalb,4300211,392969.0,367914.0,25055.0,6.4
13091,Dodge,123758,9419.0,8788.0,631.0,6.7
13093,Dooly,78446,4805.0,4482.0,323.0,6.7
13095,Dougherty,563634,42288.0,39348.0,2940.0,7.0
13097,Douglas,680573,66368.0,62091.0,4277.0,6.4
13099,Early,65649,5524.0,5157.0,367.0,6.6
13101,Echols,23941,2217.0,2122.0,95.0,4.3
13103,Effingham,268404,29084.0,27683.0,1401.0,4.8
13105,Elbert,119817,10087.0,9246.0,841.0,8.3
13107,Emanuel,128352,10803.0,10007.0,796.0,7.4
13109,Evans,63832,5023.0,4707.0,316.0,6.3
13111,Fannin,125127,10959.0,10275.0,684.0,6.2
