id,name,pop,labor_force,employed,unemployed,unemployment_rate
13001,Appling,93302,9079.0,8599.0,480.0,5.3
13003,Atkinson,41044,3390.0,3198.0,192.0,5.7
13005,Bacon,54596,4738.0,4511.0,227.0,4.8
13007,Baker,20318,1657.0,1574.0,83.0,5.0
13009,Baldwin,265367,20745.0,19590.0,1155.0,5.6
13011,Banks,86148,10601.0,10283.0,318.0,3.0
13013,Barrow,293161,33863.0,32447.0,1416.0,4.2
13015,Bartow,464430,45865.0,43620.0,2245.0,4.9
13017,Ben Hill,89351,7891.0,7348.0,543.0,6.9
13019,Berrien,90017,8801.0,8419.0,382.0,4.3
13021,Bibb,805270,73788.0,69952.0,3836.0,5.2
13023,Bleckley,63658,5364.0,5084.0,280.0,5.2
13025,Brantley,85143,7559.0,7220.0,339.0,4.5
13027,Brooks,83491,8407.0,8047.0,360.0,4.3
13029,Bryan,138716,16623.0,16054.0,569.0,3.4
13031,Bulloch,355084,32393.0,30994.0,1399.0,4.3
13033,Burke,116359,9979.0,9208.0,771.0,7.7
13035,Butts,119891,10151.0,9628.0,523.0,5.2
13037,Calhoun,35230,2175.0,2032.0,143.0,6.6
13039,Camden,251877,21609.0,20742.0,867.0,4.0
13043,Candler,50711,4418.0,4223.0,195.0,4.4
13045,Carroll,538399,53240.0,50688.0,2552.0,4.8
13047,Catoosa,307114,35453.0,34177.0,1276.0,3.6
13049,Charlton,62517,4595.0,4377.0,218.0,4.7
13051,Chatham,1296780,133680.0,128394.0,5286.0,4.0
13053,Chattahoochee,88922,1704.0,1543.0,161.0,9.4
13055,Chattooga,136892,10922.0,10279.0,643.0,5.9
13057,Cherokee,940437,109716.0,105748.0,3968.0,3.6
13059,Clarke,665131,64398.0,61911.0,2487.0,3.9
13061,Clay,15787,1476.0,1394.0,82.0,5.6
13063,Clayton,1384040,136206.0,128444.0,7762.0,5.7
13065,Clinch,36180,2763.0,2616.0,147.0,5.3
13067,Cobb,3623945,380566.0,365319.0,15247.0,4.0
13069,Coffee,211087,16522.0,15547.0,975.0,5.9
13071,Colquitt,222777,20474.0,19561.0,913.0,4.5
13073,Columbia,549297,59917.0,57652.0,2265.0,3.8
13075,Cook,83098,7134.0,6731.0,403.0,5.6
13077,Coweta,555737,59681.0,57316.0,2365.0,4.0
13079,Crawford,69731,6124.0,5837.0,287.0,4.7
13081,Crisp,114335,10625.0,10011.0,614.0,5.8
13083,Dade,87345,8436.0,8080.0,356.0,4.2
13085,Dawson,102996,11103.0,10693.0,410.0,3.7
13087,Decatur,142636,11769.0,11062.0,707.0,6.0
13089,De Kalb,3813113,393836.0,374934.0,18902.0,4.8
13091,Dodge,109110,9524.0,9051.0,473.0,5.0
13093,Dooly,68855,4927.0,4668.0,259.0,5.3
13095,Dougherty,501040,42009.0,39662.0,2347.0,5.6
13097,Douglas,591877,64829.0,61815.0,3014.0,4.6
13099,Early,58597,5334.0,5037.0,297.0,5.6
13101,Echols,21235,2251.0,2182.0,69.0,3.1
13103,Effingham,234177,28501.0,27560.0,941.0,3.3
13105,Elbert,106568,9862.0,9303.0,559.0,5.7
13107,Emanuel,113737,10829.0,10271.0,558.0,5.2
13109,Evans,56608,4985.0,4771.0,214.0,4.3
13111,Fannin,110388,11000.0,10588.0,412.0,3.7
13113,Fayette,537024,53556.0,51506.0,2050.0,3.8
13115,Floyd,491573,49791.0,47450.0,2341.0,4.7
13117,Forsyth,681848,84302.0,81520.0,2782.0,3.3
13119,Franklin,110506,10448.0,9938.0,510.0,4.9
13121,Fulton,4703853,488891.0,465409.0,23482.0,4.8
13123,Gilmer,136628,14221.0,13715.0,506.0,3.6
13125,Glascock,13623,1119.0,1062.0,57.0,5.1
13127,Glynn,373975,40736.0,39275.0,1461.0,3.6
13129,Gordon,261190,26858.0,25598.0,1260.0,4.7
13131,Grady,123267,12272.0,11779.0,493.0,4.0
13133,Greene,78585,7458.0,7061.0,397.0,5.3
13135,Gwinnett,3803712,421203.0,404504.0,16699.0,4.0
13137,Habersham,204163,20218.0,19416.0,802.0,4.0
13139,Hall,835637,90768.0,87514.0,3254.0,3.6
13141,Hancock,54362,3304.0,3027.0,277.0,8.4
13143,Haralson,142291,12872.0,12270.0,602.0,4.7
13145,Harris,144961,16064.0,15490.0,574.0,3.6
13147,Hart,122265,10834.0,10132.0,702.0,6.5
13149,Heard,59128,4900.0,4656.0,244.0,5.0
13151,Henry,845294,96909.0,92705.0,4204.0,4.3
