id,name,pop,labor_force,employed,unemployed,unemployment_rate
13001,Appling,12029,8875.0,7778.0,1097.0,12.4
13003,Atkinson,5417,3495.0,3047.0,448.0,12.8
13005,Bacon,7273,4508.0,4035.0,473.0,10.5
13007,Baker,2126,1172.0,1036.0,136.0,11.6
13009,Baldwin,31722,18617.0,16054.0,2563.0,13.8
13011,Banks,12131,8506.0,7720.0,786.0,9.2
13013,Barrow,46428,34618.0,31174.0,3444.0,9.9
13015,Bartow,67271,47746.0,42279.0,5467.0,11.5
13017,Ben Hill,11212,6254.0,5279.0,975.0,15.6
13019,Berrien,12517,7868.0,6886.0,982.0,12.5
13021,Bibb,102861,71223.0,63035.0,8188.0,11.5
13023,Bleckley,8738,5492.0,4759.0,733.0,13.3
13025,Brantley,12254,7463.0,6480.0,983.0,13.2
13027,Brooks,10311,7066.0,6359.0,707.0,10.0
13029,Bryan,20812,14722.0,13344.0,1378.0,9.4
13031,Bulloch,53972,33499.0,29978.0,3521.0,10.5
13033,Burke,15283,9953.0,8690.0,1263.0,12.7
13035,Butts,16159,10458.0,9270.0,1188.0,11.4
13037,Calhoun,4692,2522.0,2310.0,212.0,8.4
13039,Camden,34459,21154.0,19133.0,2021.0,9.6
13043,Candler,7172,5033.0,4549.0,484.0,9.6
13045,Carroll,75190,51917.0,46021.0,5896.0,11.4
13047,Catoosa,42652,32062.0,29433.0,2629.0,8.2
13049,Charlton,9699,4965.0,4437.0,528.0,10.6
13051,Chatham,186729,129639.0,116650.0,12989.0,10.0
13053,Chattahoochee,8244,2369.0,2095.0,274.0,11.6
13055,Chattooga,17053,10578.0,9411.0,1167.0,11.0
13057,Cherokee,146735,113843.0,104542.0,9301.0,8.2
13059,Clarke,90411,57177.0,51856.0,5321.0,9.3
13061,Clay,1920,1066.0,935.0,131.0,12.3
13063,Clayton,180776,126983.0,109948.0,17035.0,13.4
13065,Clinch,4369,2889.0,2572.0,317.0,11.0
13067,Cobb,487572,384688.0,350725.0,33963.0,8.8
13069,Coffee,29155,17605.0,15336.0,2269.0,12.9
13071,Colquitt,29111,21236.0,19217.0,2019.0,9.5
13073,Columbia,86936,63320.0,58667.0,4653.0,7.3
13075,Cook,10872,7602.0,6746.0,856.0,11.3
13077,Coweta,86717,65009.0,59123.0,5886.0,9.1
13079,Crawford,8533,5807.0,5181.0,626.0,10.8
13081,Crisp,15469,9203.0,7923.0,1280.0,13.9
13083,Dade,11304,8365.0,7697.0,668.0,8.0
13085,Dawson,14797,10882.0,9779.0,1103.0,10.1
13087,Decatur,17944,12066.0,10619.0,1447.0,12.0
13089,De Kalb,493714,366603.0,327936.0,38667.0,10.5
13091,Dodge,14632,8292.0,7274.0,1018.0,12.3
13093,Dooly,9943,4789.0,4164.0,625.0,13.1
13095,Dougherty,62934,41256.0,36235.0,5021.0,12.2
13097,Douglas,90790,66989.0,59707.0,7282.0,10.9
13099,Early,6671,4449.0,3938.0,511.0,11.5
13101,Echols,2701,1879.0,1727.0,152.0,8.1
13103,Effingham,35558,25639.0,23251.0,2388.0,9.3
13105,Elbert,12673,8796.0,7378.0,1418.0,16.1
13107,Emanuel,14510,9162.0,7944.0,1218.0,13.3
13109,Evans,7039,4809.0,4370.0,439.0,9.1
13111,Fannin,14613,10273.0,9113.0,1160.0,11.3
13113,Fayette,71749,53224.0,48960.0,4264.0,8.0
13115,Floyd,63104,44852.0,39440.0,5412.0,12.1
13117,Forsyth,118566,91061.0,84314.0,6747.0,7.4
13119,Franklin,14115,9751.0,8566.0,1185.0,12.2
13121,Fulton,674078,498861.0,448034.0,50827.0,10.2
13123,Gilmer,17872,12372.0,10917.0,1455.0,11.8
13125,Glascock,1955,1335.0,1193.0,142.0,10.6
13127,Glynn,51834,38256.0,34267.0,3989.0,10.4
13129,Gordon,36658,26267.0,23198.0,3069.0,11.7
13131,Grady,16018,10847.0,9817.0,1030.0,9.5
13133,Greene,9766,6379.0,5592.0,787.0,12.3
13135,Gwinnett,568419,427145.0,389936.0,37209.0,8.7
13137,Habersham,27690,18337.0,16411.0,1926.0,10.5
13139,Hall,118920,87726.0,79953.0,7773.0,8.9
13141,Hancock,6549,2961.0,2375.0,586.0,19.8
13143,Haralson,18493,12255.0,10833.0,1422.0,11.6
13145,Harris,21809,16399.0,15184.0,1215.0,7.4
13147,Hart,16066,11146.0,9898.0,1248.0,11.2
13149,Heard,7737,5169.0,4584.0,585.0,11.3
13151,Henry,140985,102687.0,92085.0,10602.0,10.3
13153,Houston,97566,68352.0,62512.0,5840.0,8.5
13155,Irwin,6256,3541.0,3054.0,487.0,13.8
13157,Jackson,40000,28906.0,26135.0,2771.0,9.6
13159,Jasper,9114,6796.0,6047.0,749.0,11.0
13161,Jeff Davis,9579,6512.0,5692.0,820.0,12.6
13163,Jefferson,10819,7121.0,6177.0,944.0,13.3
13165,Jenkins,5021,3206.0,2746.0,460.0,14.3
13167,Johnson,6818,4165.0,3703.0,462.0,11.1
13169,Jones,18973,13817.0,12544.0,1273.0,9.2
13171,Lamar,12384,8116.0,7002.0,1114.0,13.7
13173,Lanier,7000,3951.0,3536.0,415.0,10.5
13175,Laurens,30838,20302.0,17493.0,2809.0,13.8
13177,Lee,19651,14330.0,13119.0,1211.0,8.5
13179,Liberty,44072,27588.0,25015.0,2573.0,9.3
13181,Lincoln,5184,3636.0,3216.0,420.0,11.6
13183,Long,10275,6375.0,5809.0,566.0,8.9
13185,Lowndes,77676,51359.0,46277.0,5082.0,9.9
13187,Lumpkin,21369,14884.0,13429.0,1455.0,9.8
13189,McDuffie,13892,9405.0,8150.0,1255.0,13.3
13191,McIntosh,9239,6188.0,5530.0,658.0,10.6
13193,Macon,10021,5281.0,4550.0,731.0,13.8
13195,Madison,18712,13222.0,11885.0,1337.0,10.1
13197,Marion,5733,3681.0,3297.0,384.0,10.4
13199,Meriwether,13901,9244.0,8009.0,1235.0,13.4
13201,Miller,3736,2737.0,2486.0,251.0,9.2
13205,Mitchell,15436,9523.0,8568.0,955.0,10.0
13207,Monroe,17996,12739.0,11503.0,1236.0,9.7
13209,Montgomery,6124,3913.0,3397.0,516.0,13.2
13211,Morgan,11482,8639.0,7771.0,868.0,10.0
13213,Murray,26340,17062.0,14692.0,2370.0,13.9
13215,Muscogee,131848,82863.0,74559.0,8304.0,10.0
13217,Newton,66608,48399.0,42424.0,5975.0,12.3
13219,Oconee,21957,16910.0,15727.0,1183.0,7.0
13221,Oglethorpe,9748,6999.0,6319.0,680.0,9.7
