id,name,pop,labor_force,employed,unemployed,unemployment_rate
13001,Appling,46412,8200.0,7652.0,548.0,6.7
13003,Atkinson,20090,3495.0,3284.0,211.0,6.0
13005,Bacon,26737,4295.0,4063.0,232.0,5.4
13007,Baker,10200,1851.0,1761.0,90.0,4.9
13009,Baldwin,130441,19930.0,18992.0,938.0,4.7
13011,Banks,40988,8333.0,8011.0,322.0,3.9
13013,Barrow,132230,27438.0,26136.0,1302.0,4.7
13015,Bartow,217900,42706.0,40447.0,2259.0,5.3
13017,Ben Hill,44333,7762.0,7243.0,519.0,6.7
13019,Berrien,43289,8465.0,8175.0,290.0,3.4
13021,Bibb,400422,71971.0,68488.0,3483.0,4.8
13023,Bleckley,30557,5311.0,5047.0,264.0,5.0
13025,Brantley,40726,7195.0,6806.0,389.0,5.4
13027,Brooks,41475,7997.0,7727.0,270.0,3.4
13029,Bryan,65388,13183.0,12708.0,475.0,3.6
13031,Bulloch,167577,29120.0,27895.0,1225.0,4.2
13033,Burke,57369,9964.0,9139.0,825.0,8.3
13035,Butts,57504,9576.0,9077.0,499.0,5.2
13037,Calhoun,17500,2454.0,2294.0,160.0,6.5
13039,Camden,121374,18756.0,17745.0,1011.0,5.4
13043,Candler,24413,4162.0,3980.0,182.0,4.4
13045,Carroll,253575,47729.0,45255.0,2474.0,5.2
13047,Catoosa,146603,32863.0,31775.0,1088.0,3.3
13049,Charlton,29541,4243.0,4014.0,229.0,5.4
13051,Chatham,627910,116179.0,111181.0,4998.0,4.3
13053,Chattahoochee,48433,2748.0,2523.0,225.0,8.2
13055,Chattooga,68550,11335.0,10836.0,499.0,4.4
13057,Cherokee,427148,91178.0,87455.0,3723.0,4.1
13059,Clarke,321805,57142.0,54998.0,2144.0,3.8
13061,Clay,7957,1536.0,1468.0,68.0,4.4
13063,Clayton,675648,131772.0,123982.0,7790.0,5.9
13065,Clinch,18005,2426.0,2284.0,142.0,5.9
13067,Cobb,1775998,361172.0,345198.0,15974.0,4.4
13069,Coffee,102944,17318.0,16114.0,1204.0,7.0
13071,Colquitt,109647,18303.0,17337.0,966.0,5.3
13073,Columbia,254984,52446.0,50601.0,1845.0,3.5
13075,Cook,40648,7032.0,6661.0,371.0,5.3
13077,Coweta,256589,51879.0,49526.0,2353.0,4.5
13079,Crawford,34220,6095.0,5806.0,289.0,4.7
13081,Crisp,56294,9527.0,8982.0,545.0,5.7
13083,Dade,42654,8286.0,7932.0,354.0,4.3
13085,Dawson,47697,9731.0,9352.0,379.0,3.9
13087,Decatur,70959,12160.0,11470.0,690.0,5.7
13089,De Kalb,1902425,366983.0,346963.0,20020.0,5.5
13091,Dodge,52575,8753.0,8290.0,463.0,5.3
13093,Dooly,32574,4749.0,4464.0,285.0,6.0
13095,Dougherty,250520,41489.0,39134.0,2355.0,5.7
13097,Douglas,270100,53789.0,51241.0,2548.0,4.7
13099,Early,29631,5864.0,5530.0,334.0,5.7
13101,Echols,10440,2114.0,2049.0,65.0,3.1
13103,Effingham,107842,22030.0,21165.0,865.0,3.9
13105,Elbert,53031,10190.0,9605.0,585.0,5.7
13107,Emanuel,56419,10448.0,9929.0,519.0,5.0
13109,Evans,28096,4765.0,4565.0,200.0,4.2
13111,Fannin,52951,9643.0,9032.0,611.0,6.3
13113,Fayette,258032,50383.0,48525.0,1858.0,3.7
13115,Floyd,241769,49057.0,46768.0,2289.0,4.7
13117,Forsyth,302989,67047.0,64525.0,2522.0,3.8
13119,Franklin,53829,10342.0,9792.0,550.0,5.3
13121,Fulton,2318964,445338.0,421444.0,23894.0,5.4
13123,Gilmer,65194,12593.0,12055.0,538.0,4.3
13125,Glascock,6489,1201.0,1141.0,60.0,5.0
13127,Glynn,179886,36363.0,34899.0,1464.0,4.0
13129,Gordon,124632,24904.0,23731.0,1173.0,4.7
13131,Grady,60938,11135.0,10629.0,506.0,4.5
13133,Greene,38409,6467.0,6054.0,413.0,6.4
13135,Gwinnett,1781135,371758.0,355315.0,16443.0,4.4
13137,Habersham,99015,19365.0,18590.0,775.0,4.0
13139,Hall,399066,79352.0,76163.0,3189.0,4.0
13141,Hancock,27216,3378.0,3128.0,250.0,7.4
13143,Haralson,68931,12494.0,11881.0,613.0,4.9
13145,Harris,67235,14334.0,13809.0,525.0,3.7
13147,Hart,59288,10972.0,10416.0,556.0,5.1
13149,Heard,28992,4941.0,4636.0,305.0,6.2
13151,Henry,369548,79163.0,75731.0,3432.0,4.3
13153,Houston,310559,59021.0,56840.0,2181.0,3.7
13155,Irwin,25326,4432.0,4166.0,266.0,6.0
13157,Jackson,118597,22844.0,21805.0,1039.0,4.5
13159,Jasper,31362,6037.0,5727.0,310.0,5.1
13161,Jeff Davis,33987,5629.0,5200.0,429.0,7.6
13163,Jefferson,43410,6918.0,6352.0,566.0,8.2
13165,Jenkins,21595,3410.0,3198.0,212.0,6.2
13167,Johnson,23393,3662.0,3406.0,256.0,7.0
13169,Jones,66603,12881.0,12372.0,509.0,4.0
13171,Lamar,43602,7740.0,7328.0,412.0,5.3
13173,Lanier,19948,3637.0,3509.0,128.0,3.5
13175,Laurens,117468,21594.0,20306.0,1288.0,6.0
13177,Lee,69107,15200.0,14679.0,521.0,3.4
13179,Liberty,168449,20909.0,19819.0,1090.0,5.2
13181,Lincoln,22067,3481.0,3225.0,256.0,7.4
13183,Long,28239,4922.0,4741.0,181.0,3.7
13185,Lowndes,258505,47898.0,46201.0,1697.0,3.5
13187,Lumpkin,64065,11664.0,11184.0,480.0,4.1
13189,McDuffie,55470,10375.0,9723.0,652.0,6.3
13191,McIntosh,29955,4933.0,4718.0,215.0,4.4
13193,Macon,37113,5176.0,4774.0,402.0,7.8
13195,Madison,70686,15101.0,14498.0,603.0,4.0
13197,Marion,19464,3392.0,3202.0,190.0,5.6
13199,Meriwether,58321,9722.0,9096.0,626.0,6.4
13201,Miller,15629,3502.0,3329.0,173.0,4.9
13205,Mitchell,62895,9928.0,9375.0,553.0,5.6
13207,Monroe,61598,12327.0,11825.0,502.0,4.1
13209,Montgomery,23439,4132.0,3893.0,239.0,5.8
13211,Morgan,41792,8567.0,8203.0,364.0,4.2
13213,Murray,103247,20534.0,19686.0,848.0,4.1
13215,Muscogee,487689,83339.0,78888.0,4451.0,5.3
13217,Newton,184410,37464.0,35495.0,1969.0,5.3
13219,Oconee,70849,15875.0,15421.0,454.0,2.9
13221,Oglethorpe,34526,7285.0,6987.0,298.0,4.1
13223,Paulding,247618,52290.0,50125.0,2165.0,4.1
13225,Peach,66670,11276.0,10622.0,654.0,5.8
13227,Pickens,66486,13644.0,13048.0,596.0,4.4
