id,name,pop,labor_force,employed,unemployed,unemployment_rate,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_avg_wkly_wage,annual_contributions
13001,Appling,11853,8982.0,7978.0,1004.0,11.2,442,6579,252441259,48614034,738,925960
13003,Atkinson,5310,3446.0,3049.0,397.0,11.5,129,1503,44352132,11817664,568,349546
13005,Bacon,7225,4557.0,4117.0,440.0,9.7,273,3547,98169593,25885942,532,433421
13007,Baker,2157,1173.0,1044.0,129.0,11.0,58,484,15481026,3159433,615,44650
13009,Baldwin,32728,18881.0,16695.0,2186.0,11.6,898,15061,471555533,80764771,602,1948599
13011,Banks,12003,8592.0,7888.0,704.0,8.2,279,4474,126954810,37307130,546,856811
13013,Barrow,46449,34570.0,31593.0,2977.0,8.6,1130,14820,492713085,121774416,639,2705641
13015,Bartow,67063,47427.0,42733.0,4694.0,9.9,2049,31357,1196274829,255220338,734,7932034
13017,Ben Hill,11043,6183.0,5323.0,860.0,13.9,368,5608,163633099,40283566,561,1057160
13019,Berrien,12273,7860.0,7057.0,803.0,10.2,305,3902,117452422,33693559,579,1105920
13021,Bibb,102601,71743.0,64201.0,7542.0,10.5,4573,80225,3031656305,594555654,727,12820518
13023,Bleckley,8536,5282.0,4619.0,663.0,12.6,203,3096,86377174,15297650,537,467175
13025,Brantley,12151,7440.0,6548.0,892.0,12.0,227,1988,53147766,11955938,514,291993
13027,Brooks,9906,6809.0,6187.0,622.0,9.1,281,3273,85636667,24154619,503,397102
13029,Bryan,21382,15156.0,13902.0,1254.0,8.3,636,6178,188576514,43008638,587,872487
13031,Bulloch,53559,33929.0,30614.0,3315.0,9.8,1492,22044,684574415,145510164,597,3142278
13033,Burke,14932,9718.0,8520.0,1198.0,12.3,361,6456,305282148,45749285,909,766870
13035,Butts,15990,10376.0,9314.0,1062.0,10.2,406,5531,175969456,38419546,612,787860
13037,Calhoun,4658,2374.0,2190.0,184.0,7.8,117,1249,35408866,5660681,545,110866
13039,Camden,35060,21885.0,20011.0,1874.0,8.6,946,14331,560517312,89815305,752,1617293
13043,Candler,6979,5186.0,4738.0,448.0,8.6,243,2890,78601826,19882822,523,352805
13045,Carroll,75343,52018.0,46694.0,5324.0,10.2,2128,37094,1410852171,278663194,731,7354407
13047,Catoosa,42343,32256.0,29852.0,2404.0,7.5,917,13334,426598095,95297756,615,2826305
13049,Charlton,9496,4980.0,4516.0,464.0,9.3,165,2133,68494839,15132348,617,433909
13051,Chatham,188925,131997.0,119845.0,12152.0,9.2,7707,132921,5462580220,1035218595,790,26186959
13053,Chattahoochee,9081,2601.0,2297.0,304.0,11.7,120,2279,105937555,22949862,894,672964
13055,Chattooga,16943,10643.0,9556.0,1087.0,10.2,325,5720,163153273,40018432,549,1698600
13057,Cherokee,147871,115069.0,106938.0,8131.0,7.1,5288,45609,1627086429,370055887,686,8229765
13059,Clarke,91344,58154.0,53102.0,5052.0,8.7,3141,64525,2503838647,364051425,746,8496496
13061,Clay,1841,1009.0,883.0,126.0,12.5,61,615,16068645,3830465,503,133955
13063,Clayton,183031,127662.0,112343.0,15319.0,12.0,4278,111298,5292443004,901043648,914,18788270
13065,Clinch,4280,2917.0,2635.0,282.0,9.7,181,2349,66388232,17861266,543,395874
13067,Cobb,491901,388793.0,358787.0,30006.0,7.7,21407,301277,15708172330,2677948615,1003,74039966
13069,Coffee,29015,17478.0,15489.0,1989.0,11.4,929,14542,439767321,112037065,582,2742343
13071,Colquitt,29292,21012.0,19169.0,1843.0,8.8,1010,14886,423334653,110249930,547,2217570
13073,Columbia,89155,64720.0,60212.0,4508.0,7.0,2283,29478,1026677743,229670889,670,5689314
13075,Cook,10647,7536.0,6824.0,712.0,9.4,351,3897,102201713,28436960,504,795104
13077,Coweta,87176,65504.0,60295.0,5209.0,8.0,2309,30906,1093475197,243722395,680,6618727
13079,Crawford,8432,5831.0,5261.0,570.0,9.8,145,1258,35549783,7690367,544,235027
13081,Crisp,15273,9177.0,8033.0,1144.0,12.5,578,7172,216794947,46998853,581,1273417
13083,Dade,11146,8387.0,7750.0,637.0,7.6,246,3214,99544162,24782805,596,694952
13085,Dawson,14696,10861.0,9932.0,929.0,8.6,652,7673,197429979,57981924,495,1296023
13087,Decatur,17717,12249.0,11011.0,1238.0,10.1,691,8642,258620959,54920757,576,1234443
13089,De Kalb,498063,370197.0,335451.0,34746.0,9.4,17809,276278,14222021689,2136522458,990,58543417
13091,Dodge,14498,8152.0,7215.0,937.0,11.5,386,5367,148087209,30574014,531,641932
13093,Dooly,9740,4814.0,4262.0,552.0,11.5,222,2959,87311109,21193139,568,417769
13095,Dougherty,62531,40908.0,36303.0,4605.0,11.3,2627,47058,1808140383,304300330,739,7040126
13097,Douglas,90731,66997.0,60571.0,6426.0,9.6,2649,36659,1211637787,282537919,636,8268448
13099,Early,6497,4489.0,4035.0,454.0,10.1,301,4167,163280913,28745019,754,755581
13101,Echols,2592,1807.0,1674.0,133.0,7.4,43,978,20497738,8655980,403,62996
13103,Effingham,35897,25962.0,23796.0,2166.0,8.3,715,9167,335231636,61409630,703,1276671
13105,Elbert,12397,8557.0,7484.0,1073.0,12.5,528,5738,178138728,45601555,597,1327967
13107,Emanuel,14673,9090.0,7970.0,1120.0,12.3,483,6553,185609135,43374953,545,1333958
13109,Evans,6701,4804.0,4394.0,410.0,8.5,257,4249,121621930,34890855,551,405618
13111,Fannin,14391,10021.0,8999.0,1022.0,10.2,578,5097,146573117,41526417,553,1103342
13113,Fayette,71183,53507.0,49477.0,4030.0,7.5,3382,37535,1502602443,295606531,770,7021217
13115,Floyd,62610,44812.0,39929.0,4883.0,10.9,2122,36634,1406185986,283684676,738,7523541
13117,Forsyth,121761,93769.0,87576.0,6193.0,6.6,5418,58181,2564896038,513397731,848,12606336
13119,Franklin,13977,9543.0,8469.0,1074.0,11.3,440,6391,198114403,50628326,596,1547880
13121,Fulton,693143,511253.0,464856.0,46397.0,9.1,41466,721170,47379105817,6472486014,1263,184465819
13123,Gilmer,17611,12159.0,10878.0,1281.0,10.5,585,6871,193459006,51923417,541,1353356
13125,Glascock,1949,1322.0,1194.0,128.0,9.7,37,396,9303019,1860441,452,23191
13127,Glynn,51951,38796.0,35128.0,3668.0,9.5,2761,35194,1339498666,260167271,732,6193232
13129,Gordon,36644,26849.0,24226.0,2623.0,9.8,1039,20390,713986134,164425263,673,6128829
13131,Grady,16073,10832.0,9905.0,927.0,8.6,499,5812,171376304,39786264,567,800880
13133,Greene,9551,6421.0,5711.0,710.0,11.1,456,5082,163266839,40730052,618,1016937
13135,Gwinnett,576931,434220.0,400616.0,33604.0,7.7,24054,308417,14779507498,2754584116,922,76009378
13137,Habersham,27860,18429.0,16679.0,1750.0,9.5,856,12883,403114524,89443554,602,2078601
13139,Hall,119423,89130.0,82212.0,6918.0,7.8,4238,71283,2848620883,563808752,769,13643760
13141,Hancock,6230,2757.0,2290.0,467.0,16.9,80,1186,32486833,3744836,527,55965
13143,Haralson,18287,12102.0,10867.0,1235.0,10.2,490,7172,246093077,57411646,660,1636083
13145,Harris,21786,16278.0,15108.0,1170.0,7.2,434,3658,102517305,26775355,539,569224
13147,Hart,16016,10825.0,9713.0,1112.0,10.3,425,5773,196196284,41117390,654,1499281
13149,Heard,7631,5122.0,4594.0,528.0,10.3,155,1986,84153314,13697099,815,449085
13151,Henry,141655,103220.0,93550.0,9670.0,9.4,3630,49305,1689958160,375016766,659,9684294
13153,Houston,98562,68753.0,63237.0,5516.0,8.0,2642,57536,2502609963,296837717,836,6305625
13155,Irwin,6202,3542.0,3128.0,414.0,11.7,165,2102,57104444,16275159,522,454739
13157,Jackson,39608,29417.0,27006.0,2411.0,8.2,1322,18637,639571452,159963242,660,4355257
13159,Jasper,8926,6666.0,6015.0,651.0,9.8,194,2035,56756548,12897167,536,385854
