id,name,pop,labor_force,employed,unemployed,unemployment_rate
13001,Appling,11744,8678.0,7747.0,931.0,10.7
13003,Atkinson,5357,3488.0,3161.0,327.0,9.4
13005,Bacon,7254,4629.0,4240.0,389.0,8.4
13007,Baker,2154,1130.0,1011.0,119.0,10.5
13009,Baldwin,32259,18542.0,16660.0,1882.0,10.1
13011,Banks,11989,7994.0,7370.0,624.0,7.8
13013,Barrow,47145,34704.0,32139.0,2565.0,7.4
13015,Bartow,67411,47081.0,43005.0,4076.0,8.7
13017,Ben Hill,10987,5781.0,5059.0,722.0,12.5
13019,Berrien,12178,7416.0,6707.0,709.0,9.6
13021,Bibb,100919,69947.0,63451.0,6496.0,9.3
13023,Bleckley,8405,4790.0,4121.0,669.0,14.0
13025,Brantley,11976,7041.0,6291.0,750.0,10.7
13027,Brooks,9911,6683.0,6129.0,554.0,8.3
13029,Bryan,21947,15430.0,14280.0,1150.0,7.5
13031,Bulloch,51863,34197.0,31230.0,2967.0,8.7
13033,Burke,14667,9495.0,8354.0,1141.0,12.0
13035,Butts,15806,10204.0,9256.0,948.0,9.3
13037,Calhoun,4675,2109.0,1935.0,174.0,8.3
13039,Camden,34871,21594.0,19918.0,1676.0,7.8
13043,Candler,6793,5106.0,4689.0,417.0,8.2
13045,Carroll,75771,51902.0,46898.0,5004.0,9.6
13047,Catoosa,42372,31674.0,29536.0,2138.0,6.8
13049,Charlton,9270,4924.0,4507.0,417.0,8.5
13051,Chatham,188494,131417.0,120581.0,10836.0,8.2
13053,Chattahoochee,9018,2469.0,2192.0,277.0,11.2
13055,Chattooga,16424,10546.0,9596.0,950.0,9.0
13057,Cherokee,149905,115755.0,108641.0,7114.0,6.1
13059,Clarke,91562,57917.0,53390.0,4527.0,7.8
13061,Clay,1756,956.0,847.0,109.0,11.4
13063,Clayton,180360,125088.0,111623.0,13465.0,10.8
13065,Clinch,4318,2832.0,2572.0,260.0,9.2
13067,Cobb,496576,389121.0,363027.0,26094.0,6.7
13069,Coffee,28934,17525.0,15783.0,1742.0,9.9
13071,Colquitt,29387,20345.0,18558.0,1787.0,8.8
13073,Columbia,91597,65609.0,61359.0,4250.0,6.5
13075,Cook,10762,7444.0,6807.0,637.0,8.6
13077,Coweta,88531,65854.0,61258.0,4596.0,7.0
13079,Crawford,8275,5689.0,5188.0,501.0,8.8
13081,Crisp,14860,9685.0,8600.0,1085.0,11.2
13083,Dade,11094,8132.0,7553.0,579.0,7.1
13085,Dawson,14679,10791.0,9993.0,798.0,7.4
13087,Decatur,17606,11583.0,10483.0,1100.0,9.5
13089,De Kalb,499049,368896.0,337823.0,31073.0,8.4
13091,Dodge,14384,7792.0,6901.0,891.0,11.4
13093,Dooly,9749,4518.0,3998.0,520.0,11.5
13095,Dougherty,61270,39746.0,35634.0,4112.0,10.3
13097,Douglas,92360,67365.0,61567.0,5798.0,8.6
13099,Early,6465,4376.0,3978.0,398.0,9.1
13101,Echols,2606,1781.0,1668.0,113.0,6.3
13103,Effingham,36630,26193.0,24319.0,1874.0,7.2
13105,Elbert,12293,8373.0,7469.0,904.0,10.8
13107,Emanuel,14543,8852.0,7743.0,1109.0,12.5
13109,Evans,6780,4731.0,4370.0,361.0,7.6
13111,Fannin,14385,9768.0,8890.0,878.0,9.0
13113,Fayette,71392,53452.0,49860.0,3592.0,6.7
13115,Floyd,62347,43793.0,39641.0,4152.0,9.5
13117,Forsyth,126579,96553.0,90879.0,5674.0,5.9
13119,Franklin,13997,9346.0,8426.0,920.0,9.8
13121,Fulton,692855,508662.0,467515.0,41147.0,8.1
13123,Gilmer,17740,11913.0,10844.0,1069.0,9.0
13125,Glascock,1960,1291.0,1168.0,123.0,9.5
13127,Glynn,51936,38082.0,34845.0,3237.0,8.5
13129,Gordon,36733,26219.0,23892.0,2327.0,8.9
13131,Grady,15925,10492.0,9680.0,812.0,7.7
13133,Greene,9497,6355.0,5725.0,630.0,9.9
13135,Gwinnett,588405,438545.0,408407.0,30138.0,6.9
13137,Habersham,27511,19334.0,17781.0,1553.0,8.0
13139,Hall,120766,89562.0,83423.0,6139.0,6.9
13141,Hancock,6076,2645.0,2255.0,390.0,14.7
13143,Haralson,18297,11969.0,10866.0,1103.0,9.2
13145,Harris,21593,15824.0,14786.0,1038.0,6.6
13147,Hart,15784,10507.0,9540.0,967.0,9.2
13149,Heard,7583,5012.0,4542.0,470.0,9.4
