id,name,pop,labor_force,employed,unemployed,unemployment_rate
13001,Appling,11744,8666.0,7903.0,763.0,8.8
13003,Atkinson,5302,3618.0,3343.0,275.0,7.6
13005,Bacon,7251,4845.0,4511.0,334.0,6.9
13007,Baker,2106,1116.0,1015.0,101.0,9.1
13009,Baldwin,31940,18481.0,16872.0,1609.0,8.7
13011,Banks,11942,8147.0,7612.0,535.0,6.6
13013,Barrow,48199,35192.0,32987.0,2205.0,6.3
13015,Bartow,67548,46613.0,43285.0,3328.0,7.1
13017,Ben Hill,10938,5597.0,5039.0,558.0,10.0
13019,Berrien,11877,7238.0,6620.0,618.0,8.5
13021,Bibb,99734,69029.0,63502.0,5527.0,8.0
13023,Bleckley,8442,4630.0,4112.0,518.0,11.2
13025,Brantley,11984,6889.0,6254.0,635.0,9.2
13027,Brooks,9621,6633.0,6155.0,478.0,7.2
13029,Bryan,22302,15547.0,14545.0,1002.0,6.4
13031,Bulloch,52345,34538.0,32019.0,2519.0,7.3
13033,Burke,14458,9175.0,8254.0,921.0,10.0
13035,Butts,15825,10030.0,9278.0,752.0,7.5
13037,Calhoun,4640,2141.0,1991.0,150.0,7.0
13039,Camden,35045,21963.0,20517.0,1446.0,6.6
13043,Candler,6759,5075.0,4725.0,350.0,6.9
13045,Carroll,76938,51976.0,47723.0,4253.0,8.2
13047,Catoosa,42464,31044.0,29142.0,1902.0,6.1
13049,Charlton,9118,4805.0,4452.0,353.0,7.3
13051,Chatham,191129,131733.0,122140.0,9593.0,7.3
13053,Chattahoochee,8924,2234.0,2013.0,221.0,9.9
13055,Chattooga,16174,10521.0,9719.0,802.0,7.6
13057,Cherokee,153722,118029.0,111575.0,6454.0,5.5
13059,Clarke,90743,56224.0,52340.0,3884.0,6.9
13061,Clay,1796,915.0,812.0,103.0,11.3
13063,Clayton,181628,124674.0,113137.0,11537.0,9.3
13065,Clinch,4300,2830.0,2591.0,239.0,8.4
13067,Cobb,503591,393541.0,370284.0,23257.0,5.9
13069,Coffee,28682,17642.0,16208.0,1434.0,8.1
13071,Colquitt,29139,20087.0,18465.0,1622.0,8.1
13073,Columbia,93229,66440.0,62595.0,3845.0,5.8
13075,Cook,10830,7401.0,6798.0,603.0,8.1
13077,Coweta,90126,66516.0,62434.0,4082.0,6.1
13079,Crawford,8146,5606.0,5194.0,412.0,7.3
13081,Crisp,14516,9460.0,8622.0,838.0,8.9
13083,Dade,10944,7888.0,7392.0,496.0,6.3
13085,Dawson,14784,10800.0,10143.0,657.0,6.1
13087,Decatur,17447,11376.0,10453.0,923.0,8.1
13089,De Kalb,501356,368808.0,342178.0,26630.0,7.2
13091,Dodge,14146,7436.0,6709.0,727.0,9.8
13093,Dooly,9665,4640.0,4192.0,448.0,9.7
13095,Dougherty,60423,38658.0,35098.0,3560.0,9.2
13097,Douglas,93778,67676.0,62687.0,4989.0,7.4
13099,Early,6370,4340.0,3956.0,384.0,8.8
13101,Echols,2594,1783.0,1679.0,104.0,5.8
13103,Effingham,37197,26267.0,24641.0,1626.0,6.2
13105,Elbert,12177,8068.0,7374.0,694.0,8.6
13107,Emanuel,14377,8582.0,7689.0,893.0,10.4
13109,Evans,6772,4738.0,4433.0,305.0,6.4
13111,Fannin,14214,9855.0,9111.0,744.0,7.5
13113,Fayette,71736,53772.0,50496.0,3276.0,6.1
13115,Floyd,62302,43278.0,39873.0,3405.0,7.9
13117,Forsyth,132957,100388.0,95136.0,5252.0,5.2
13119,Franklin,14050,9255.0,8502.0,753.0,8.1
13121,Fulton,698555,509613.0,473655.0,35958.0,7.1
13123,Gilmer,17620,11963.0,11099.0,864.0,7.2
13125,Glascock,1946,1268.0,1165.0,103.0,8.1
13127,Glynn,51807,37086.0,34330.0,2756.0,7.4
13129,Gordon,36772,26078.0,24183.0,1895.0,7.3
13131,Grady,15832,10456.0,9690.0,766.0,7.3
13133,Greene,9499,6426.0,5901.0,525.0,8.2
13135,Gwinnett,600076,444407.0,417599.0,26808.0,6.0
13137,Habersham,27724,18970.0,17656.0,1314.0,6.9
13139,Hall,122515,90082.0,84790.0,5292.0,5.9
13141,Hancock,5655,2522.0,2228.0,294.0,11.7
13143,Haralson,18395,11866.0,10936.0,930.0,7.8
13145,Harris,21551,15727.0,14790.0,937.0,6.0
13147,Hart,15639,10384.0,9609.0,775.0,7.5
13149,Heard,7585,4965.0,4575.0,390.0,7.9
13151,Henry,145228,103545.0,96055.0,7490.0,7.2
13153,Houston,99649,65942.0,61465.0,4477.0,6.8
13155,Irwin,5721,3142.0,2844.0,298.0,9.5
13157,Jackson,40210,29826.0,28079.0,1747.0,5.9
13159,Jasper,8661,6353.0,5931.0,422.0,6.6
13161,Jeff Davis,9334,6397.0,5876.0,521.0,8.1
13163,Jefferson,10224,6651.0,5905.0,746.0,11.2
13165,Jenkins,6047,3263.0,2937.0,326.0,10.0
13167,Johnson,6640,3936.0,3599.0,337.0,8.6
13169,Jones,18622,13690.0,12831.0,859.0,6.3
13171,Lamar,12138,7789.0,7047.0,742.0,9.5
13173,Lanier,6817,3791.0,3487.0,304.0,8.0
13175,Laurens,30166,19036.0,17282.0,1754.0,9.2
13177,Lee,19672,14142.0,13265.0,877.0,6.2
13179,Liberty,43713,25637.0,23683.0,1954.0,7.6
13181,Lincoln,4863,3337.0,3060.0,277.0,8.3
13183,Long,11668,6696.0,6205.0,491.0,7.3
13185,Lowndes,77256,50544.0,46888.0,3656.0,7.2
13187,Lumpkin,21416,15257.0,14291.0,966.0,6.3
13189,McDuffie,13491,8803.0,7924.0,879.0,10.0
13191,McIntosh,8889,5869.0,5407.0,462.0,7.9
13193,Macon,9482,4734.0,4182.0,552.0,11.7
13195,Madison,18556,12698.0,11861.0,837.0,6.6
13197,Marion,5690,3456.0,3192.0,264.0,7.6
13199,Meriwether,13350,8750.0,7895.0,855.0,9.8
13201,Miller,3627,2676.0,2506.0,170.0,6.4
13205,Mitchell,14927,8763.0,8079.0,684.0,7.8
13207,Monroe,17951,12722.0,11881.0,841.0,6.6
13209,Montgomery,5959,3854.0,3462.0,392.0,10.2
13211,Morgan,11319,8362.0,7813.0,549.0,6.6
13213,Murray,25951,15877.0,14390.0,1487.0,9.4
13215,Muscogee,135381,80825.0,74045.0,6780.0,8.4
13217,Newton,68096,47954.0,44025.0,3929.0,8.2
13219,Oconee,22849,17265.0,16391.0,874.0,5.1
13221,Oglethorpe,9453,6656.0,6221.0,435.0,6.5
13223,Paulding,100823,74843.0,70256.0,4587.0,6.1
13225,Peach,18355,11486.0,10401.0,1085.0,9.4
13227,Pickens,18772,13824.0,12906.0,918.0,6.6
13229,Pierce,12038,8089.0,7487.0,602.0,7.4
13231,Pike,11713,8197.0,7621.0,576.0,7.0
13233,Polk,26028,18344.0,16918.0,1426.0,7.8
13235,Pulaski,7475,4065.0,3747.0,318.0,7.8
13237,Putnam,12860,8088.0,7361.0,727.0,9.0
13239,Quitman,1342,891.0,817.0,74.0,8.3
13241,Rabun,9802,6553.0,6016.0,537.0,8.2
13243,Randolph,4530,2720.0,2457.0,263.0,9.7
13245,Richmond,135608,84649.0,77315.0,7334.0,8.7
13247,Rockdale,58221,42032.0,38746.0,3286.0,7.8
13249,Schley,3254,2175.0,2010.0,165.0,7.6
13251,Screven,9145,5362.0,4827.0,535.0,10.0
13253,Seminole,5274,3122.0,2826.0,296.0,9.5
13255,Spalding,40554,27277.0,24705.0,2572.0,9.4
13257,Stephens,16101,11204.0,10356.0,848.0,7.6
13259,Stewart,4140,2189.0,2025.0,164.0,7.5
13261,Sumter,20444,13438.0,12167.0,1271.0,9.5
13263,Talbot,4184,2805.0,2586.0,219.0,7.8
13265,Taliaferro,1053,592.0,528.0,64.0,10.8
13267,Tattnall,17599,9525.0,8863.0,662.0,7.0
13269,Taylor,5455,2847.0,2556.0,291.0,10.2
13271,Telfair,11594,5247.0,4738.0,509.0,9.7
13273,Terrell,5701,3619.0,3330.0,289.0,8.0
13275,Thomas,28392,17138.0,15653.0,1485.0,8.7
13277,Tift,26515,18254.0,16927.0,1327.0,7.3
13279,Toombs,16896,12243.0,11033.0,1210.0,9.9
13281,Towns,6277,4139.0,3759.0,380.0,9.2
13283,Treutlen,4358,2793.0,2499.0,294.0,10.5
13285,Troup,45322,36106.0,33462.0,2644.0,7.3
13287,Turner,4878,3258.0,3000.0,258.0,7.9
13289,Twiggs,5336,2999.0,2664.0,335.0,11.2
13291,Union,12162,9514.0,8892.0,622.0,6.5
13293,Upson,16738,11305.0,10303.0,1002.0,8.9
13295,Walker,44303,29397.0,27289.0,2108.0,7.2
13297,Walton,56555,41412.0,38758.0,2654.0,6.4
13299,Ware,22643,14762.0,13596.0,1166.0,7.9
13301,Warren,3390,2714.0,2452.0,262.0,9.7
13303,Washington,13495,7556.0,6944.0,612.0,8.1
13305,Wayne,19364,11836.0,10801.0,1035.0,8.7
13307,Webster,1686,1015.0,928.0,87.0,8.6
13309,Wheeler,5845,1866.0,1636.0,230.0,12.3
13311,White,17403,13836.0,12978.0,858.0,6.2
13313,Whitfield,67158,44724.0,41236.0,3488.0,7.8
13315,Wilcox,6053,2841.0,2582.0,259.0,9.1
13317,Wilkes,6043,3736.0,3390.0,346.0,9.3
13319,Wilkinson,5868,3718.0,3396.0,322.0,8.7
13321,Worth,13458,8937.0,8241.0,696.0,7.8
