id,name,pop,labor_force,employed,unemployed,unemployment_rate
13001,Appling,69841,8947.0,8414.0,533.0,6.0
13003,Atkinson,30439,3504.0,3315.0,189.0,5.4
13005,Bacon,40444,4726.0,4474.0,252.0,5.3
13007,Baker,15348,1791.0,1697.0,94.0,5.2
13009,Baldwin,197322,20216.0,19103.0,1113.0,5.5
13011,Banks,63027,9163.0,8803.0,360.0,3.9
13013,Barrow,208444,30504.0,29050.0,1454.0,4.8
13015,Bartow,337566,44608.0,42034.0,2574.0,5.8
13017,Ben Hill,66620,8090.0,7635.0,455.0,5.6
13019,Berrien,66276,8833.0,8464.0,369.0,4.2
13021,Bibb,602248,72845.0,68652.0,4193.0,5.8
13023,Bleckley,46438,5081.0,4702.0,379.0,7.5
13025,Brantley,62502,7559.0,7148.0,411.0,5.4
13027,Brooks,62294,8289.0,7932.0,357.0,4.3
13029,Bryan,101119,15280.0,14673.0,607.0,4.0
13031,Bulloch,259053,30251.0,28835.0,1416.0,4.7
13033,Burke,86827,10078.0,9315.0,763.0,7.6
13035,Butts,88002,9107.0,8550.0,557.0,6.1
13037,Calhoun,26320,2325.0,2158.0,167.0,7.2
13039,Camden,185341,20428.0,19466.0,962.0,4.7
13043,Candler,37271,4494.0,4277.0,217.0,4.8
13045,Carroll,391658,50679.0,47869.0,2810.0,5.5
13047,Catoosa,225189,34815.0,33295.0,1520.0,4.4
13049,Charlton,45522,4380.0,4147.0,233.0,5.3
13051,Chatham,955273,124569.0,118847.0,5722.0,4.6
13053,Chattahoochee,71149,2657.0,2375.0,282.0,10.6
13055,Chattooga,102329,11053.0,10449.0,604.0,5.5
13057,Cherokee,670837,99737.0,95569.0,4168.0,4.2
13059,Clarke,491302,59066.0,56414.0,2652.0,4.5
13061,Clay,11842,1384.0,1309.0,75.0,5.4
13063,Clayton,1026570,136125.0,126767.0,9358.0,6.9
13065,Clinch,27115,2499.0,2345.0,154.0,6.2
13067,Cobb,2686022,369291.0,351402.0,17889.0,4.8
13069,Coffee,156168,17335.0,16333.0,1002.0,5.8
13071,Colquitt,165595,19256.0,18261.0,995.0,5.2
13073,Columbia,396510,56828.0,54198.0,2630.0,4.6
13075,Cook,61734,7008.0,6590.0,418.0,6.0
13077,Coweta,399979,55824.0,53100.0,2724.0,4.9
13079,Crawford,51932,6269.0,5899.0,370.0,5.9
13081,Crisp,84953,10108.0,9442.0,666.0,6.6
13083,Dade,64730,8433.0,8027.0,406.0,4.8
13085,Dawson,74186,10287.0,9846.0,441.0,4.3
